CLAIM_ID,POLICY_ID,CUSTOMER_ID,STATE,LINE_OF_BUSINESS,BROKER_ID,CLAIM_TYPE,CLAIM_AMOUNT,CLAIM_STATUS,DATE_REPORTED,NOTES,DATE_RESOLVED,IS_CLOSED
C00000,P10333,CU1532,FL,Commercial,Broker_4,Theft,7927.16,Closed,2024-12-20 05:28:33.639277,Adjuster flagged for review,2025-01-26 05:28:33.639277,1
C00001,P10283,CU1545,IL,Auto,Broker_2,Theft,7610.48,Closed,2024-08-12 05:28:33.639301,Minor water damage,2024-09-27 05:28:33.639301,1
C00002,P10474,CU1300,TX,Life,Broker_3,Theft,2195.16,Closed,2025-04-07 05:28:33.639305,Minor water damage,2025-04-19 05:28:33.639305,1
C00003,P10053,CU1160,TX,Homeowners,Broker_7,Theft,4269.75,Denied,2025-01-30 05:28:33.639308,Minor water damage,,0
C00004,P10457,CU1303,CA,Life,Broker_3,Liability,8950.51,Closed,2025-06-21 05:28:33.639310,Theft with forced entry,2025-07-14 05:28:33.639310,1
C00005,P10578,CU1855,NY,Homeowners,Broker_5,Fire,5825.59,Closed,2025-02-24 05:28:33.639314,Vehicle rear-ended,2025-03-07 05:28:33.639314,1
C00006,P10419,CU1653,TX,Life,Broker_10,Liability,106.95,Open,2025-04-24 05:28:33.639316,Minor water damage,,0
C00007,P10613,CU1249,TX,Homeowners,Broker_6,Flood,2052.68,Open,2024-11-23 05:28:33.639322,Minor water damage,,0
C00008,P10631,CU1672,IL,Commercial,Broker_6,Liability,780.2,Open,2025-03-27 05:28:33.639329,Total loss due to fire,,0
C00009,P10702,CU1276,IL,Homeowners,Broker_4,Liability,1326.16,Closed,2025-07-21 05:28:33.639334,Customer reported late,2025-08-24 05:28:33.639334,1
C00010,P10408,CU1828,CA,Life,Broker_6,Flood,11795.22,Open,2025-04-02 05:28:33.639337,Customer reported late,,0
C00011,P10981,CU1479,CA,Auto,Broker_3,Liability,187.96,Closed,2025-04-09 05:28:33.639340,Customer reported late,2025-05-29 05:28:33.639340,1
C00012,P10303,CU1288,CA,Auto,Broker_7,Fire,1241.03,Closed,2025-04-15 05:28:33.639342,Adjuster flagged for review,2025-06-11 05:28:33.639342,1
C00013,P10934,CU1406,IL,Life,Broker_7,Accident,1852.2,Open,2024-09-24 05:28:33.639345,Total loss due to fire,,0
C00014,P10558,CU1891,IL,Auto,Broker_4,Flood,4797.09,Closed,2025-01-04 05:28:33.639348,Theft with forced entry,2025-02-09 05:28:33.639348,1
C00015,P10221,CU1886,NY,Life,Broker_2,Theft,3818.94,Closed,2024-08-15 05:28:33.639350,Adjuster flagged for review,2024-09-11 05:28:33.639350,1
C00016,P10532,CU1379,FL,Life,Broker_7,Fire,1231.23,Open,2025-03-03 05:28:33.639353,Total loss due to fire,,0
C00017,P10157,CU1306,FL,Auto,Broker_3,Accident,897.08,Closed,2025-01-30 05:28:33.639358,Minor water damage,2025-02-18 05:28:33.639358,1
C00018,P10347,CU1844,NY,Life,Broker_1,Fire,1351.16,Closed,2025-01-11 05:28:33.639362,Vehicle rear-ended,2025-02-06 05:28:33.639362,1
C00019,P10158,CU1778,FL,Homeowners,Broker_2,Fire,3491.1,Closed,2025-05-16 05:28:33.639366,Adjuster flagged for review,2025-06-29 05:28:33.639366,1
C00020,P10888,CU1656,IL,Auto,Broker_10,Theft,1581.63,Open,2024-09-24 05:28:33.639369,Adjuster flagged for review,,0
C00021,P10883,CU1998,FL,Commercial,Broker_9,Accident,14744.48,Closed,2025-04-18 05:28:33.639374,Minor water damage,2025-06-12 05:28:33.639374,1
C00022,P10921,CU1619,IL,Homeowners,Broker_8,Fire,3116.85,Pending,2024-10-25 05:28:33.639379,Minor water damage,,0
C00023,P10234,CU1794,NY,Homeowners,Broker_6,Theft,302.98,Closed,2025-02-10 05:28:33.639381,Vehicle rear-ended,2025-04-01 05:28:33.639381,1
C00024,P10661,CU1562,CA,Homeowners,Broker_6,Flood,6533.1,Open,2024-12-22 05:28:33.639384,Customer reported late,,0
C00025,P10404,CU1397,NY,Auto,Broker_1,Theft,1993.78,Closed,2024-09-16 05:28:33.639386,Adjuster flagged for review,2024-11-02 05:28:33.639386,1
C00026,P10256,CU1571,FL,Homeowners,Broker_2,Liability,5299.2,Closed,2025-05-05 05:28:33.639389,Total loss due to fire,2025-05-25 05:28:33.639389,1
C00027,P10676,CU1911,IL,Life,Broker_4,Theft,1639.7,Closed,2024-11-01 05:28:33.639391,Theft with forced entry,2024-12-10 05:28:33.639391,1
C00028,P10588,CU1778,FL,Life,Broker_3,Theft,4228.51,Closed,2025-02-28 05:28:33.639394,Minor water damage,2025-04-15 05:28:33.639394,1
C00029,P10596,CU1000,FL,Life,Broker_1,Theft,7395.39,Closed,2025-01-11 05:28:33.639396,Minor water damage,2025-02-08 05:28:33.639396,1
C00030,P10557,CU1403,CA,Auto,Broker_8,Fire,13156.05,Denied,2025-02-11 05:28:33.639400,Theft with forced entry,,0
C00031,P10904,CU1757,FL,Homeowners,Broker_7,Accident,1513.15,Closed,2024-10-02 05:28:33.639404,Total loss due to fire,2024-11-07 05:28:33.639404,1
C00032,P10912,CU1936,CA,Homeowners,Broker_4,Theft,2038.77,Closed,2024-12-27 05:28:33.639408,Minor water damage,2025-01-02 05:28:33.639408,1
C00033,P10046,CU1370,IL,Commercial,Broker_9,Theft,3120.59,Open,2024-11-01 05:28:33.639412,Theft with forced entry,,0
C00034,P10212,CU1648,IL,Commercial,Broker_4,Liability,13098.47,Denied,2025-05-10 05:28:33.639417,Minor water damage,,0
C00035,P10478,CU1331,CA,Auto,Broker_1,Liability,11582.75,Pending,2025-06-17 05:28:33.639421,Customer reported late,,0
C00036,P10486,CU1025,NY,Auto,Broker_10,Flood,470.88,Open,2025-02-15 05:28:33.639423,Customer reported late,,0
C00037,P10570,CU1381,IL,Commercial,Broker_1,Flood,707.41,Closed,2025-01-25 05:28:33.639425,Minor water damage,2025-02-03 05:28:33.639425,1
C00038,P10565,CU1703,NY,Life,Broker_1,Liability,3421.03,Open,2025-05-28 05:28:33.639428,Minor water damage,,0
C00039,P10341,CU1459,IL,Life,Broker_1,Accident,563.71,Closed,2024-08-10 05:28:33.639430,Customer reported late,2024-09-17 05:28:33.639430,1
C00040,P10523,CU1721,IL,Commercial,Broker_4,Flood,2120.04,Closed,2025-06-04 05:28:33.639432,Minor water damage,2025-06-28 05:28:33.639432,1
